cycles_diff,sample_idx
4199958,0
4199999,1
4200041,2
4200000,3
4200000,4
4200083,5
4200041,6
4200083,7
4200041,8
4200000,9
4200000,10
4200000,11
4200041,12
4200041,13
4200000,14
4200000,15
4200000,16
4200041,17
4200041,18
4200042,19
4200000,20
4199958,21
4200000,22
4200041,23
4200041,24
4200041,25
4200041,26
4200000,27
4200000,28
4200000,29
4200041,30
4199958,31
4199999,32
4200041,33
4200083,34
4200042,35
4200000,36
4200000,37
4200041,38
4200000,39
4199958,40
4200041,41
4200083,42
4200000,43
4199999,44
4200041,45
4200083,46
4200042,47
4200000,48
4200041,49
4200000,50
4200083,51
4200000,52
4199958,53
4200042,54
4200000,55
4199958,56
4199999,57
4200000,58
4200041,59
4200041,60
4200000,61
4199958,62
4200083,63
4200000,64
4200000,65
4199958,66
4200041,67
4200042,68
4200042,69
4200000,70
4199999,71
4200041,72
4200041,73
4200041,74
4199958,75
4200083,76
4200000,77
4200000,78
4199958,79
4200000,80
4200000,81
4200041,82
4199999,83
4200041,84
4200000,85
4200000,86
4199958,87
4200083,88
4200000,89
4200041,90
4200000,91
4200041,92
4199999,93
4199999,94
4199999,95
4200041,96
4200000,97
4199958,98
4199999,99
4200041,100
4200000,101
4200000,102
4199958,103
4200042,104
4200000,105
4200125,106
4200000,107
4200125,108
4200000,109
4200042,110
4200000,111
4200042,112
4200042,113
4200042,114
4200000,115
4200041,116
4200041,117
4199958,118
4200042,119
4200000,120
4199958,121
4200041,122
4200041,123
4200041,124
4200042,125
4200000,126
4200083,127
4200000,128
4200000,129
4200042,130
4199958,131
4200041,132
4200041,133
4200000,134
4200041,135
4200000,136
4200000,137
4200000,138
4200041,139
4200042,140
4200000,141
4199958,142
4200000,143
4200000,144
4199958,145
4200041,146
4200041,147
4199958,148
4200041,149
4200083,150
4199958,151
4200041,152
4200000,153
4200041,154
4199999,155
4200083,156
4199958,157
4199958,158
4200041,159
4200042,160
4200000,161
4200000,162
4200041,163
4199958,164
4200041,165
4199958,166
4200041,167
4199958,168
4200041,169
4200041,170
4200000,171
4200042,172
4200000,173
4199958,174
4200000,175
4200000,176
4200000,177
4199958,178
4200041,179
4200000,180
4199958,181
4200000,182
4200041,183
4199958,184
4200000,185
4200000,186
4200000,187
4200041,188
4199958,189
4200041,190
4200000,191
4200041,192
4200000,193
4200000,194
4200000,195
4200000,196
4200000,197
4200083,198
4199999,199
4199999,200
4200041,201
4199958,202
4200000,203
4200000,204
4200000,205
4200000,206
4199958,207
4199999,208
4200041,209
4200041,210
4199999,211
4200041,212
4200041,213
4200000,214
4200041,215
4200041,216
4200083,217
4199999,218
4200041,219
4200000,220
4200041,221
4200000,222
4199999,223
4199999,224
4200041,225
4199958,226
4199999,227
4200041,228
4200000,229
4200041,230
4200041,231
4199999,232
4199958,233
4200041,234
4200000,235
4199958,236
4199999,237
4199958,238
4199999,239
4200000,240
4199958,241
4200041,242
4200041,243
4200000,244
4199958,245
4200000,246
4199958,247
4199999,248
4200041,249
4199958,250
4200041,251
4199958,252
4200083,253
4200041,254
4200000,255
4200000,256
4200000,257
4200000,258
4200041,259
4199958,260
4200000,261
4200000,262
4200041,263
