cycles,sample_idx
42,0
42,1
1,2
41,3
42,4
1,5
41,6
1,7
41,8
42,9
1,10
41,11
42,12
1,13
42,14
1,15
41,16
42,17
1,18
41,19
42,20
41,21
42,22
1,23
41,24
42,25
1,26
41,27
1,28
41,29
42,30
1,31
41,32
42,33
1,34
42,35
1,36
41,37
42,38
1,39
41,40
42,41
41,42
42,43
1,44
41,45
42,46
1,47
41,48
1,49
41,50
42,51
1,52
41,53
42,54
1,55
42,56
1,57
41,58
42,59
1,60
41,61
42,62
41,63
42,64
1,65
41,66
42,67
1,68
41,69
1,70
41,71
42,72
1,73
41,74
42,75
1,76
42,77
1,78
41,79
42,80
1,81
41,82
42,83
41,84
42,85
1,86
41,87
42,88
1,89
41,90
1,91
41,92
42,93
1,94
41,95
42,96
1,97
42,98
1,99
41,100
42,101
1,102
41,103
42,104
41,105
42,106
1,107
41,108
42,109
1,110
41,111
1,112
41,113
42,114
1,115
41,116
42,117
1,118
42,119
1,120
41,121
42,122
1,123
41,124
42,125
41,126
42,127
1,128
41,129
42,130
1,131
41,132
1,133
41,134
42,135
1,136
41,137
42,138
1,139
42,140
1,141
41,142
42,143
1,144
41,145
42,146
41,147
42,148
1,149
41,150
42,151
1,152
41,153
1,154
41,155
42,156
1,157
41,158
42,159
1,160
42,161
1,162
41,163
42,164
1,165
41,166
42,167
41,168
42,169
1,170
41,171
42,172
1,173
41,174
1,175
41,176
42,177
1,178
41,179
42,180
1,181
42,182
1,183
41,184
42,185
1,186
41,187
42,188
41,189
42,190
1,191
41,192
42,193
1,194
41,195
1,196
41,197
42,198
1,199
41,200
42,201
1,202
42,203
1,204
41,205
42,206
1,207
41,208
42,209
41,210
42,211
1,212
41,213
42,214
1,215
41,216
1,217
41,218
42,219
1,220
41,221
42,222
1,223
42,224
1,225
41,226
42,227
1,228
41,229
42,230
41,231
42,232
1,233
41,234
42,235
1,236
41,237
1,238
41,239
42,240
1,241
41,242
42,243
1,244
42,245
1,246
41,247
42,248
1,249
41,250
42,251
41,252
42,253
1,254
41,255
42,256
1,257
41,258
1,259
41,260
42,261
1,262
41,263
42,264
1,265
42,266
1,267
41,268
42,269
1,270
41,271
42,272
41,273
42,274
1,275
41,276
42,277
1,278
41,279
1,280
41,281
42,282
1,283
41,284
42,285
1,286
42,287
1,288
41,289
42,290
1,291
41,292
42,293
41,294
42,295
1,296
41,297
42,298
1,299
41,300
1,301
41,302
42,303
1,304
41,305
42,306
1,307
42,308
1,309
41,310
42,311
1,312
41,313
42,314
41,315
42,316
1,317
41,318
42,319
1,320
41,321
1,322
41,323
42,324
1,325
41,326
42,327
1,328
42,329
1,330
41,331
42,332
1,333
41,334
42,335
41,336
42,337
1,338
41,339
42,340
1,341
41,342
1,343
41,344
42,345
1,346
41,347
42,348
1,349
42,350
1,351
41,352
42,353
1,354
41,355
42,356
41,357
42,358
1,359
41,360
42,361
1,362
41,363
1,364
41,365
42,366
1,367
41,368
42,369
1,370
42,371
1,372
41,373
42,374
1,375
41,376
42,377
41,378
42,379
1,380
41,381
42,382
1,383
41,384
1,385
41,386
42,387
1,388
41,389
42,390
1,391
42,392
1,393
41,394
42,395
1,396
41,397
42,398
41,399
42,400
1,401
41,402
42,403
1,404
41,405
1,406
41,407
42,408
1,409
41,410
42,411
1,412
42,413
1,414
41,415
42,416
1,417
41,418
42,419
41,420
42,421
1,422
41,423
42,424
1,425
41,426
1,427
41,428
42,429
1,430
41,431
42,432
1,433
42,434
1,435
41,436
42,437
1,438
41,439
42,440
41,441
42,442
1,443
41,444
42,445
1,446
41,447
1,448
41,449
42,450
1,451
41,452
42,453
1,454
42,455
1,456
41,457
42,458
1,459
41,460
42,461
41,462
42,463
1,464
41,465
42,466
1,467
41,468
1,469
41,470
42,471
1,472
41,473
42,474
1,475
42,476
1,477
41,478
42,479
1,480
41,481
42,482
41,483
42,484
1,485
41,486
42,487
1,488
41,489
1,490
41,491
42,492
1,493
41,494
42,495
1,496
42,497
1,498
41,499
42,500
1,501
41,502
42,503
41,504
42,505
1,506
41,507
42,508
1,509
41,510
42,511
42,512
1,513
41,514
42,515
1,516
41,517
1,518
41,519
42,520
1,521
41,522
42,523
1,524
42,525
1,526
41,527
42,528
1,529
41,530
42,531
41,532
42,533
1,534
41,535
42,536
1,537
41,538
1,539
41,540
42,541
1,542
41,543
42,544
1,545
42,546
1,547
41,548
42,549
1,550
41,551
42,552
41,553
42,554
1,555
41,556
42,557
1,558
41,559
1,560
41,561
42,562
1,563
41,564
42,565
1,566
42,567
1,568
41,569
42,570
1,571
41,572
42,573
41,574
42,575
1,576
41,577
42,578
1,579
41,580
1,581
41,582
42,583
1,584
41,585
42,586
1,587
42,588
1,589
41,590
42,591
1,592
41,593
42,594
41,595
42,596
1,597
41,598
42,599
1,600
41,601
1,602
41,603
42,604
1,605
41,606
42,607
1,608
42,609
1,610
41,611
42,612
1,613
41,614
42,615
41,616
42,617
1,618
41,619
42,620
1,621
41,622
1,623
41,624
42,625
1,626
41,627
42,628
1,629
42,630
1,631
41,632
42,633
1,634
41,635
42,636
41,637
42,638
1,639
41,640
42,641
1,642
41,643
1,644
41,645
42,646
1,647
41,648
42,649
1,650
42,651
1,652
41,653
42,654
1,655
41,656
42,657
41,658
42,659
1,660
41,661
42,662
1,663
41,664
1,665
41,666
42,667
1,668
41,669
42,670
1,671
42,672
1,673
41,674
42,675
1,676
41,677
42,678
41,679
42,680
1,681
41,682
42,683
1,684
41,685
1,686
41,687
42,688
1,689
41,690
42,691
1,692
42,693
1,694
41,695
42,696
1,697
41,698
42,699
41,700
42,701
1,702
41,703
42,704
1,705
41,706
1,707
41,708
42,709
1,710
41,711
42,712
1,713
42,714
1,715
41,716
42,717
1,718
41,719
42,720
41,721
42,722
1,723
41,724
42,725
1,726
41,727
1,728
41,729
42,730
1,731
41,732
42,733
1,734
42,735
1,736
41,737
42,738
1,739
41,740
42,741
41,742
42,743
1,744
41,745
42,746
1,747
41,748
1,749
41,750
42,751
1,752
41,753
42,754
1,755
42,756
1,757
41,758
42,759
1,760
41,761
42,762
41,763
42,764
1,765
41,766
42,767
1,768
41,769
1,770
41,771
42,772
1,773
41,774
42,775
1,776
42,777
1,778
41,779
42,780
1,781
41,782
42,783
41,784
42,785
1,786
41,787
42,788
1,789
41,790
1,791
41,792
42,793
1,794
41,795
42,796
1,797
42,798
1,799
41,800
42,801
1,802
41,803
42,804
41,805
42,806
1,807
41,808
42,809
1,810
41,811
1,812
41,813
42,814
1,815
41,816
42,817
1,818
42,819
1,820
41,821
42,822
1,823
41,824
42,825
41,826
42,827
1,828
41,829
42,830
1,831
41,832
1,833
41,834
42,835
1,836
41,837
42,838
1,839
42,840
1,841
41,842
42,843
1,844
41,845
42,846
41,847
42,848
1,849
41,850
42,851
1,852
41,853
1,854
41,855
42,856
1,857
41,858
42,859
1,860
42,861
1,862
41,863
42,864
1,865
41,866
42,867
41,868
42,869
1,870
41,871
42,872
1,873
41,874
1,875
41,876
42,877
1,878
41,879
42,880
1,881
42,882
1,883
41,884
42,885
1,886
41,887
42,888
41,889
42,890
1,891
41,892
42,893
1,894
41,895
1,896
41,897
42,898
1,899
41,900
42,901
1,902
42,903
1,904
41,905
42,906
1,907
41,908
42,909
41,910
42,911
1,912
41,913
42,914
1,915
41,916
1,917
41,918
42,919
1,920
41,921
42,922
1,923
42,924
1,925
41,926
42,927
1,928
41,929
42,930
41,931
42,932
1,933
41,934
42,935
1,936
41,937
1,938
41,939
42,940
1,941
41,942
42,943
1,944
42,945
1,946
41,947
42,948
1,949
41,950
42,951
41,952
42,953
1,954
41,955
42,956
1,957
41,958
1,959
41,960
