thread,time_us,cycles
0,0.076,37903179486186
0,0.106,37903179486270
0,0.136,37903179486396
0,0.156,37903179486522
0,0.186,37903179486606
0,0.216,37903179486732
0,0.236,37903179486858
0,0.266,37903179486942
0,0.296,37903179487068
0,0.336,37903179487194
0,0.366,37903179487362
0,0.396,37903179487488
0,0.416,37903179487614
0,0.446,37903179487698
0,0.466,37903179487824
0,0.496,37903179487908
0,0.576,37903179488286
0,0.606,37903179488412
0,0.636,37903179488496
0,0.666,37903179488622
0,0.686,37903179488748
0,0.716,37903179488832
0,0.746,37903179488958
0,0.776,37903179489084
0,0.806,37903179489210
0,0.826,37903179489336
0,0.856,37903179489420
0,0.876,37903179489546
0,0.906,37903179489630
0,0.936,37903179489756
0,0.956,37903179489882
0,0.986,37903179490008
0,1.016,37903179490092
0,1.036,37903179490218
0,1.066,37903179490302
0,1.096,37903179490428
0,1.116,37903179490554
0,1.146,37903179490638
0,1.176,37903179490764
0,1.196,37903179490890
0,1.226,37903179490974
0,1.246,37903179491100
0,1.276,37903179491184
0,1.296,37903179491310
0,1.326,37903179491394
0,1.356,37903179491520
0,1.376,37903179491646
0,1.406,37903179491730
0,1.426,37903179491856
0,1.456,37903179491940
0,1.486,37903179492066
0,1.506,37903179492192
0,1.536,37903179492276
0,1.556,37903179492402
0,1.586,37903179492486
0,1.616,37903179492612
0,1.636,37903179492738
0,1.666,37903179492822
0,1.686,37903179492948
0,1.716,37903179493032
0,1.736,37903179493158
0,1.766,37903179493242
0,1.796,37903179493368
0,1.816,37903179493494
0,1.846,37903179493578
0,1.866,37903179493704
0,1.896,37903179493788
0,1.916,37903179493914
0,1.946,37903179493998
0,1.966,37903179494124
0,1.996,37903179494208
0,2.026,37903179494334
0,2.046,37903179494460
0,2.076,37903179494586
0,2.106,37903179494670
0,2.136,37903179494796
0,2.156,37903179494922
0,2.186,37903179495006
0,2.206,37903179495132
0,2.236,37903179495216
0,2.266,37903179495342
0,2.286,37903179495427
0,2.316,37903179495552
0,2.336,37903179495678
0,2.366,37903179495762
0,2.386,37903179495888
0,2.416,37903179495972
0,2.446,37903179496098
0,2.466,37903179496224
0,2.496,37903179496308
0,2.516,37903179496434
0,2.546,37903179496518
0,2.566,37903179496644
0,2.596,37903179496728
0,2.616,37903179496813
0,2.646,37903179496938
0,2.666,37903179497064
0,2.696,37903179497148
0,2.716,37903179497274
0,2.746,37903179497358
0,2.776,37903179497484
0,2.796,37903179497610
0,2.816,37903179497694
0,2.846,37903179497778
0,2.866,37903179497904
0,2.896,37903179497988
0,2.926,37903179498114
0,2.946,37903179498240
0,2.976,37903179498324
0,3.006,37903179498450
0,3.026,37903179498576
0,3.056,37903179498660
0,3.076,37903179498786
0,3.106,37903179498870
0,3.136,37903179498996
0,3.156,37903179499122
0,3.186,37903179499206
0,3.206,37903179499332
0,3.236,37903179499416
0,3.266,37903179499542
0,3.286,37903179499668
0,3.306,37903179499752
0,3.336,37903179499836
0,3.356,37903179499921
0,3.386,37903179500046
0,3.406,37903179500172
0,3.436,37903179500256
0,3.466,37903179500382
0,3.486,37903179500508
0,3.516,37903179500592
0,3.536,37903179500718
0,3.566,37903179500802
0,3.586,37903179500928
0,3.616,37903179501012
0,3.646,37903179501138
0,3.666,37903179501264
0,3.696,37903179501348
0,3.716,37903179501474
0,3.736,37903179501558
0,3.766,37903179501642
