cycles,sample_idx
42,0
42,1
42,2
42,3
42,4
84,5
42,6
84,7
42,8
84,9
42,10
42,11
42,12
42,13
84,14
42,15
84,16
42,17
42,18
84,19
42,20
84,21
42,22
42,23
42,24
42,25
84,26
42,27
84,28
42,29
84,30
42,31
42,32
42,33
42,34
42,35
42,36
42,37
84,38
42,39
84,40
42,41
84,42
42,43
42,44
42,45
42,46
84,47
42,48
84,49
42,50
84,51
42,52
42,53
84,54
42,55
42,56
42,57
42,58
84,59
42,60
84,61
42,62
84,63
42,64
42,65
42,66
42,67
84,68
42,69
42,70
84,71
42,72
84,73
42,74
84,75
42,76
42,77
42,78
42,79
84,80
42,81
84,82
42,83
84,84
42,85
42,86
84,87
42,88
42,89
42,90
42,91
84,92
42,93
84,94
42,95
84,96
42,97
42,98
42,99
42,100
84,101
42,102
42,103
84,104
42,105
84,106
42,107
84,108
42,109
42,110
42,111
42,112
84,113
42,114
84,115
42,116
84,117
42,118
42,119
42,120
42,121
42,122
42,123
42,124
84,125
42,126
84,127
42,128
84,129
42,130
42,131
42,132
42,133
84,134
42,135
84,136
42,137
42,138
84,139
42,140
84,141
42,142
42,143
42,144
42,145
84,146
42,147
84,148
42,149
84,150
42,151
42,152
42,153
42,154
42,155
42,156
42,157
84,158
42,159
84,160
42,161
84,162
42,163
42,164
42,165
42,166
84,167
42,168
84,169
42,170
42,171
84,172
42,173
84,174
42,175
42,176
42,177
42,178
84,179
42,180
84,181
42,182
84,183
42,184
42,185
42,186
42,187
84,188
42,189
42,190
84,191
42,192
84,193
42,194
84,195
42,196
42,197
42,198
42,199
84,200
42,201
84,202
42,203
84,204
42,205
42,206
84,207
42,208
42,209
42,210
42,211
84,212
42,213
84,214
42,215
84,216
42,217
42,218
42,219
42,220
84,221
42,222
42,223
84,224
42,225
84,226
42,227
84,228
42,229
42,230
42,231
42,232
84,233
42,234
84,235
42,236
84,237
42,238
42,239
42,240
42,241
42,242
42,243
42,244
84,245
42,246
84,247
42,248
84,249
42,250
42,251
42,252
42,253
84,254
42,255
84,256
42,257
42,258
84,259
42,260
84,261
42,262
42,263
42,264
42,265
84,266
42,267
84,268
42,269
84,270
42,271
42,272
42,273
42,274
42,275
42,276
42,277
84,278
42,279
84,280
42,281
84,282
42,283
42,284
42,285
42,286
84,287
42,288
84,289
42,290
42,291
84,292
42,293
84,294
42,295
42,296
42,297
42,298
84,299
42,300
84,301
42,302
84,303
42,304
42,305
42,306
42,307
42,308
42,309
42,310
84,311
42,312
84,313
42,314
84,315
42,316
42,317
42,318
42,319
84,320
42,321
84,322
42,323
84,324
42,325
42,326
84,327
42,328
42,329
42,330
42,331
84,332
42,333
84,334
42,335
84,336
42,337
42,338
42,339
42,340
84,341
42,342
42,343
84,344
42,345
84,346
42,347
84,348
42,349
42,350
42,351
42,352
84,353
42,354
84,355
42,356
84,357
42,358
42,359
42,360
42,361
42,362
42,363
42,364
84,365
42,366
84,367
42,368
84,369
42,370
42,371
42,372
42,373
84,374
42,375
84,376
42,377
42,378
84,379
42,380
84,381
42,382
42,383
42,384
42,385
84,386
42,387
84,388
42,389
84,390
42,391
42,392
42,393
42,394
42,395
42,396
42,397
84,398
42,399
84,400
42,401
84,402
42,403
42,404
42,405
42,406
84,407
42,408
84,409
42,410
84,411
42,412
42,413
84,414
42,415
42,416
42,417
42,418
84,419
42,420
84,421
42,422
84,423
42,424
42,425
42,426
42,427
84,428
42,429
42,430
84,431
42,432
84,433
42,434
84,435
42,436
42,437
42,438
42,439
84,440
42,441
84,442
42,443
84,444
42,445
42,446
42,447
42,448
42,449
42,450
42,451
84,452
42,453
84,454
42,455
84,456
42,457
42,458
42,459
42,460
84,461
42,462
84,463
42,464
42,465
84,466
42,467
84,468
42,469
42,470
42,471
42,472
84,473
42,474
84,475
42,476
84,477
42,478
42,479
42,480
42,481
42,482
42,483
42,484
84,485
42,486
84,487
42,488
84,489
42,490
42,491
42,492
42,493
84,494
42,495
84,496
42,497
84,498
42,499
42,500
84,501
42,502
42,503
42,504
42,505
84,506
42,507
84,508
42,509
84,510
42,511
42,512
42,513
42,514
84,515
42,516
42,517
84,518
42,519
84,520
42,521
84,522
42,523
42,524
42,525
42,526
84,527
42,528
84,529
42,530
84,531
42,532
42,533
42,534
42,535
42,536
42,537
42,538
84,539
42,540
84,541
42,542
84,543
42,544
42,545
42,546
42,547
84,548
42,549
84,550
42,551
42,552
84,553
42,554
84,555
42,556
42,557
42,558
42,559
84,560
42,561
84,562
42,563
84,564
42,565
42,566
42,567
42,568
42,569
42,570
42,571
84,572
42,573
84,574
42,575
84,576
42,577
42,578
42,579
42,580
84,581
42,582
84,583
42,584
84,585
42,586
42,587
84,588
42,589
42,590
42,591
42,592
84,593
42,594
84,595
42,596
84,597
42,598
42,599
42,600
42,601
84,602
42,603
42,604
84,605
42,606
84,607
42,608
84,609
42,610
42,611
42,612
42,613
84,614
42,615
84,616
42,617
84,618
42,619
42,620
42,621
42,622
42,623
42,624
42,625
84,626
42,627
84,628
42,629
84,630
42,631
42,632
42,633
42,634
84,635
42,636
84,637
42,638
42,639
84,640
42,641
84,642
42,643
42,644
42,645
42,646
84,647
42,648
84,649
42,650
84,651
42,652
42,653
42,654
42,655
42,656
42,657
42,658
84,659
42,660
84,661
42,662
84,663
42,664
42,665
42,666
42,667
84,668
42,669
84,670
42,671
84,672
42,673
42,674
84,675
42,676
42,677
42,678
42,679
84,680
42,681
84,682
42,683
84,684
42,685
42,686
42,687
42,688
84,689
42,690
42,691
84,692
42,693
84,694
42,695
84,696
42,697
42,698
42,699
42,700
84,701
42,702
84,703
42,704
84,705
42,706
42,707
42,708
42,709
42,710
42,711
42,712
84,713
42,714
84,715
42,716
84,717
42,718
42,719
42,720
42,721
84,722
42,723
84,724
42,725
42,726
84,727
42,728
84,729
42,730
42,731
42,732
42,733
84,734
42,735
84,736
42,737
84,738
42,739
42,740
42,741
42,742
42,743
42,744
42,745
84,746
42,747
84,748
42,749
84,750
42,751
42,752
42,753
42,754
84,755
42,756
84,757
42,758
84,759
42,760
42,761
84,762
42,763
42,764
42,765
42,766
84,767
42,768
84,769
42,770
84,771
42,772
42,773
42,774
42,775
84,776
42,777
42,778
84,779
42,780
84,781
42,782
84,783
42,784
42,785
42,786
42,787
84,788
42,789
84,790
42,791
84,792
42,793
42,794
84,795
42,796
42,797
42,798
42,799
84,800
42,801
84,802
42,803
84,804
42,805
42,806
42,807
42,808
84,809
42,810
42,811
84,812
42,813
84,814
42,815
84,816
42,817
42,818
42,819
42,820
84,821
42,822
84,823
42,824
84,825
42,826
42,827
42,828
42,829
42,830
42,831
42,832
84,833
42,834
84,835
42,836
84,837
42,838
42,839
42,840
42,841
84,842
42,843
84,844
42,845
42,846
84,847
42,848
84,849
42,850
42,851
42,852
42,853
84,854
42,855
84,856
42,857
84,858
42,859
42,860
42,861
42,862
42,863
42,864
42,865
84,866
42,867
84,868
42,869
84,870
42,871
42,872
42,873
42,874
84,875
42,876
84,877
42,878
84,879
42,880
42,881
84,882
42,883
42,884
42,885
42,886
84,887
42,888
84,889
42,890
84,891
42,892
42,893
42,894
42,895
84,896
42,897
42,898
84,899
42,900
84,901
42,902
84,903
42,904
42,905
42,906
42,907
84,908
42,909
84,910
42,911
84,912
42,913
42,914
42,915
42,916
42,917
42,918
42,919
84,920
42,921
84,922
42,923
84,924
42,925
42,926
42,927
42,928
84,929
42,930
84,931
42,932
42,933
84,934
42,935
84,936
42,937
42,938
42,939
42,940
84,941
42,942
84,943
42,944
84,945
42,946
42,947
42,948
42,949
42,950
42,951
42,952
84,953
42,954
84,955
42,956
84,957
42,958
42,959
42,960
