diff,tight
84,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
42,1
84,1
84,0
42,1
84,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
84,1
42,1
84,0
84,1
42,1
84,1
42,0
84,1
42,1
84,1
42,0
84,1
42,1
84,1
42,0
84,1
42,1
84,1
42,0
84,1
42,1
84,1
42,0
84,1
42,1
84,1
42,0
84,1
42,1
84,1
42,0
84,1
252,1
84,1
42,0
84,1
42,1
84,1
42,0
84,1
42,1
84,1
42,0
84,1
42,1
84,1
42,0
42,1
294,1
42,1
84,0
42,1
84,1
42,1
42,0
84,1
42,1
84,1
42,0
84,1
42,1
84,1
42,0
42,1
84,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
42,1
84,1
42,0
84,1
42,1
84,1
42,0
42,1
84,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
42,1
84,1
42,0
84,1
42,1
84,1
42,0
84,1
42,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
42,1
84,1
42,0
84,1
42,1
84,1
42,0
84,1
42,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
42,1
84,1
42,0
84,1
42,1
84,1
42,0
84,1
42,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
84,1
42,1
84,0
84,1
42,1
42,1
84,0
84,1
42,1
42,1
84,0
84,1
42,1
84,1
42,0
84,1
42,1
84,1
42,0
84,1
210,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
42,1
84,1
42,0
84,1
252,1
42,1
42,0
84,1
42,1
84,1
42,0
84,1
42,1
84,1
42,0
42,1
84,1
42,1
84,0
42,1
252,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
42,1
84,1
42,0
84,1
42,1
84,1
42,0
84,1
42,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
42,1
84,1
42,0
84,1
42,1
84,1
42,0
84,1
42,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
84,1
42,1
42,0
84,1
42,1
84,1
42,0
84,1
42,1
84,1
42,0
42,1
84,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
42,1
84,1
42,0
84,1
42,1
84,1
42,0
84,1
42,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
42,1
84,1
42,0
84,1
42,1
84,1
42,0
42,1
84,1
42,1
84,0
42,1
84,1
42,1
42,0
84,1
42,1
84,1
42,0
84,1
42,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
84,1
42,1
42,0
84,1
42,1
84,1
42,0
84,1
42,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
42,1
84,1
42,0
84,1
42,1
84,1
42,0
84,1
42,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
42,1
84,1
42,0
84,1
42,1
84,1
42,0
84,1
42,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
84,1
42,1
42,0
84,1
252,1
42,1
84,0
42,1
84,1
42,1
42,0
84,1
42,1
84,1
42,0
84,1
42,1
84,1
42,0
42,1
84,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
42,1
84,1
42,0
84,1
42,1
84,1
42,0
84,1
42,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
84,1
42,1
42,0
84,1
42,1
84,1
42,0
84,1
42,1
84,1
42,0
42,1
84,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
42,1
84,1
42,0
84,1
42,1
84,1
42,0
84,1
42,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
84,1
42,1
42,0
84,1
42,1
84,1
42,0
84,1
42,1
84,1
42,0
42,1
84,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
42,1
84,1
42,0
84,1
42,1
84,1
42,0
84,1
42,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
84,1
42,1
42,0
84,1
42,1
84,1
42,0
84,1
42,1
84,1
42,0
42,1
84,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
42,1
84,1
42,0
84,1
42,1
84,1
42,0
84,1
42,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
84,1
42,1
42,0
84,1
42,1
84,1
42,0
84,1
42,1
84,1
42,0
42,1
84,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
42,1
84,1
42,0
84,1
42,1
84,1
42,0
84,1
42,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
84,1
42,1
42,0
84,1
42,1
84,1
42,0
84,1
42,1
84,1
42,0
42,1
84,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
42,1
84,1
42,0
84,1
42,1
84,1
42,0
84,1
42,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
84,1
42,1
42,0
84,1
252,1
42,1
42,0
84,1
42,1
84,1
42,0
84,1
42,1
84,1
42,0
84,1
42,1
42,1
84,0
42,1
294,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
84,1
42,1
84,0
84,1
42,1
42,1
84,0
84,1
42,1
42,1
84,0
84,1
210,1
84,1
42,0
84,1
42,1
84,1
42,0
84,1
42,1
84,1
42,0
42,1
84,1
42,1
84,0
42,1
84,1
42,1
42,0
84,1
42,1
84,1
42,0
84,1
42,1
84,1
42,0
84,1
42,1
84,1
42,0
84,1
252,1
84,1
42,0
42,1
84,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
42,1
84,1
42,0
84,1
42,1
84,1
42,0
42,1
84,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
84,1
42,1
42,0
84,1
42,1
84,1
42,0
84,1
42,1
84,1
42,0
42,1
84,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
252,1
42,1
84,0
42,1
42,1
84,1
42,0
84,1
42,1
84,1
42,0
84,1
42,1
42,1
84,0
42,1
252,1
84,1
42,0
84,1
42,1
84,1
42,0
84,1
42,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
84,1
42,1
42,0
84,1
42,1
84,1
42,0
84,1
42,1
84,1
42,0
84,1
42,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
42,1
84,1
42,0
84,1
42,1
84,1
42,0
84,1
42,1
42,1
84,0
42,1
294,1
42,1
84,0
42,1
42,1
84,1
42,0
84,1
42,1
84,1
42,0
42,1
84,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
42,1
84,1
42,0
84,1
42,1
84,1
42,0
42,1
84,1
42,1
84,0
42,1
84,1
42,1
42,0
84,1
42,1
84,1
42,0
84,1
42,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
84,1
42,1
42,0
84,1
42,1
84,1
42,0
84,1
42,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
42,1
84,1
42,0
84,1
42,1
84,1
42,0
84,1
42,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
252,1
84,1
42,0
84,1
42,1
84,1
42,0
42,1
84,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
294,1
42,1
42,0
84,1
42,1
84,1
42,0
84,1
42,1
42,1
84,0
42,1
84,1
42,1
84,0
42,1
252,1
84,1
42,0
84,1
42,1
84,1
42,0
84,1
42,1
84,1
42,0
84,1
42,1
84,1
42,0
84,1
42,1
84,1
42,0
84,1
42,1
84,1
42,0
84,1
42,1
84,1
42,0
84,1
42,1
84,1
84,0
42,1
84,1
