method,color,calls,sample_idx
chrono::system_clock,#42a5f5,2,0
chrono::system_clock,#42a5f5,3,1
chrono::system_clock,#42a5f5,4,2
chrono::system_clock,#42a5f5,5,3
chrono::system_clock,#42a5f5,4,4
chrono::system_clock,#42a5f5,3,5
chrono::system_clock,#42a5f5,5,6
chrono::system_clock,#42a5f5,4,7
chrono::system_clock,#42a5f5,4,8
chrono::system_clock,#42a5f5,4,9
chrono::system_clock,#42a5f5,5,10
chrono::system_clock,#42a5f5,4,11
chrono::system_clock,#42a5f5,5,12
chrono::system_clock,#42a5f5,3,13
chrono::system_clock,#42a5f5,5,14
chrono::system_clock,#42a5f5,4,15
chrono::system_clock,#42a5f5,5,16
chrono::system_clock,#42a5f5,4,17
chrono::system_clock,#42a5f5,5,18
chrono::system_clock,#42a5f5,4,19
chrono::system_clock,#42a5f5,5,20
chrono::system_clock,#42a5f5,3,21
chrono::system_clock,#42a5f5,3,22
chrono::system_clock,#42a5f5,5,23
chrono::system_clock,#42a5f5,4,24
chrono::system_clock,#42a5f5,5,25
chrono::system_clock,#42a5f5,5,26
chrono::system_clock,#42a5f5,4,27
chrono::system_clock,#42a5f5,5,28
chrono::system_clock,#42a5f5,3,29
chrono::system_clock,#42a5f5,3,30
chrono::system_clock,#42a5f5,4,31
chrono::system_clock,#42a5f5,5,32
chrono::system_clock,#42a5f5,4,33
chrono::system_clock,#42a5f5,5,34
chrono::system_clock,#42a5f5,4,35
chrono::system_clock,#42a5f5,5,36
chrono::system_clock,#42a5f5,3,37
chrono::system_clock,#42a5f5,3,38
chrono::system_clock,#42a5f5,4,39
chrono::system_clock,#42a5f5,5,40
chrono::system_clock,#42a5f5,5,41
chrono::system_clock,#42a5f5,4,42
chrono::system_clock,#42a5f5,5,43
chrono::system_clock,#42a5f5,4,44
chrono::system_clock,#42a5f5,3,45
chrono::system_clock,#42a5f5,5,46
chrono::system_clock,#42a5f5,4,47
chrono::system_clock,#42a5f5,5,48
chrono::system_clock,#42a5f5,5,49
chrono::system_clock,#42a5f5,4,50
chrono::system_clock,#42a5f5,5,51
chrono::system_clock,#42a5f5,5,52
chrono::system_clock,#42a5f5,3,53
chrono::system_clock,#42a5f5,4,54
chrono::system_clock,#42a5f5,4,55
chrono::system_clock,#42a5f5,4,56
chrono::system_clock,#42a5f5,4,57
chrono::system_clock,#42a5f5,5,58
chrono::system_clock,#42a5f5,4,59
chrono::system_clock,#42a5f5,5,60
chrono::system_clock,#42a5f5,3,61
chrono::system_clock,#42a5f5,3,62
chrono::system_clock,#42a5f5,5,63
chrono::system_clock,#42a5f5,4,64
chrono::system_clock,#42a5f5,5,65
chrono::system_clock,#42a5f5,4,66
chrono::system_clock,#42a5f5,4,67
chrono::system_clock,#42a5f5,4,68
chrono::system_clock,#42a5f5,3,69
chrono::system_clock,#42a5f5,4,70
chrono::system_clock,#42a5f5,4,71
chrono::system_clock,#42a5f5,4,72
chrono::system_clock,#42a5f5,4,73
chrono::system_clock,#42a5f5,5,74
chrono::system_clock,#42a5f5,5,75
chrono::system_clock,#42a5f5,4,76
chrono::system_clock,#42a5f5,3,77
chrono::system_clock,#42a5f5,4,78
chrono::system_clock,#42a5f5,4,79
chrono::system_clock,#42a5f5,5,80
chrono::system_clock,#42a5f5,4,81
chrono::system_clock,#42a5f5,5,82
chrono::system_clock,#42a5f5,4,83
chrono::system_clock,#42a5f5,5,84
chrono::system_clock,#42a5f5,3,85
chrono::system_clock,#42a5f5,4,86
chrono::system_clock,#42a5f5,5,87
chrono::system_clock,#42a5f5,4,88
chrono::system_clock,#42a5f5,4,89
chrono::system_clock,#42a5f5,5,90
chrono::system_clock,#42a5f5,4,91
chrono::system_clock,#42a5f5,5,92
chrono::system_clock,#42a5f5,3,93
chrono::system_clock,#42a5f5,3,94
chrono::system_clock,#42a5f5,5,95
chrono::system_clock,#42a5f5,4,96
chrono::system_clock,#42a5f5,5,97
chrono::system_clock,#42a5f5,4,98
chrono::system_clock,#42a5f5,5,99
chrono::system_clock,#42a5f5,4,100
chrono::system_clock,#42a5f5,4,101
chrono::system_clock,#42a5f5,4,102
chrono::system_clock,#42a5f5,4,103
chrono::system_clock,#42a5f5,4,104
chrono::system_clock,#42a5f5,4,105
chrono::system_clock,#42a5f5,5,106
chrono::system_clock,#42a5f5,4,107
chrono::system_clock,#42a5f5,4,108
chrono::system_clock,#42a5f5,3,109
chrono::system_clock,#42a5f5,3,110
chrono::system_clock,#42a5f5,4,111
chrono::system_clock,#42a5f5,4,112
chrono::system_clock,#42a5f5,5,113
chrono::system_clock,#42a5f5,4,114
chrono::system_clock,#42a5f5,4,115
chrono::system_clock,#42a5f5,4,116
chrono::system_clock,#42a5f5,3,117
chrono::system_clock,#42a5f5,4,118
chrono::system_clock,#42a5f5,5,119
chrono::system_clock,#42a5f5,4,120
chrono::system_clock,#42a5f5,5,121
chrono::system_clock,#42a5f5,4,122
chrono::system_clock,#42a5f5,4,123
chrono::system_clock,#42a5f5,5,124
chrono::system_clock,#42a5f5,3,125
chrono::system_clock,#42a5f5,4,126
chrono::system_clock,#42a5f5,4,127
chrono::system_clock,#42a5f5,5,128
chrono::system_clock,#42a5f5,4,129
chrono::system_clock,#42a5f5,5,130
chrono::system_clock,#42a5f5,4,131
chrono::system_clock,#42a5f5,4,132
chrono::system_clock,#42a5f5,3,133
chrono::system_clock,#42a5f5,4,134
chrono::system_clock,#42a5f5,4,135
chrono::system_clock,#42a5f5,4,136
chrono::system_clock,#42a5f5,4,137
chrono::system_clock,#42a5f5,5,138
chrono::system_clock,#42a5f5,5,139
chrono::system_clock,#42a5f5,4,140
chrono::system_clock,#42a5f5,3,141
chrono::system_clock,#42a5f5,4,142
chrono::system_clock,#42a5f5,5,143
chrono::system_clock,#42a5f5,4,144
chrono::system_clock,#42a5f5,5,145
chrono::system_clock,#42a5f5,4,146
chrono::system_clock,#42a5f5,5,147
chrono::system_clock,#42a5f5,4,148
chrono::system_clock,#42a5f5,3,149
chrono::system_clock,#42a5f5,3,150
chrono::system_clock,#42a5f5,4,151
chrono::system_clock,#42a5f5,5,152
chrono::system_clock,#42a5f5,4,153
chrono::system_clock,#42a5f5,5,154
chrono::system_clock,#42a5f5,4,155
chrono::system_clock,#42a5f5,5,156
chrono::system_clock,#42a5f5,3,157
chrono::system_clock,#42a5f5,4,158
chrono::system_clock,#42a5f5,5,159
chrono::system_clock,#42a5f5,5,160
chrono::system_clock,#42a5f5,4,161
chrono::system_clock,#42a5f5,4,162
chrono::system_clock,#42a5f5,4,163
chrono::system_clock,#42a5f5,5,164
chrono::system_clock,#42a5f5,4,165
chrono::system_clock,#42a5f5,4,166
chrono::system_clock,#42a5f5,5,167
chrono::system_clock,#42a5f5,3,168
chrono::system_clock,#42a5f5,5,169
chrono::system_clock,#42a5f5,4,170
chrono::system_clock,#42a5f5,5,171
chrono::system_clock,#42a5f5,4,172
chrono::system_clock,#42a5f5,3,173
chrono::system_clock,#42a5f5,3,174
chrono::system_clock,#42a5f5,5,175
chrono::system_clock,#42a5f5,4,176
chrono::system_clock,#42a5f5,5,177
