method,color,latency_ns,sample_idx
chrono::system_clock,#42a5f5,100,0
chrono::system_clock,#42a5f5,100,1
chrono::system_clock,#42a5f5,100,2
chrono::system_clock,#42a5f5,100,3
chrono::system_clock,#42a5f5,100,4
chrono::system_clock,#42a5f5,100,5
chrono::system_clock,#42a5f5,100,6
chrono::system_clock,#42a5f5,100,7
chrono::system_clock,#42a5f5,100,8
chrono::system_clock,#42a5f5,100,9
chrono::system_clock,#42a5f5,100,10
chrono::system_clock,#42a5f5,100,11
chrono::system_clock,#42a5f5,100,12
chrono::system_clock,#42a5f5,100,13
chrono::system_clock,#42a5f5,100,14
chrono::system_clock,#42a5f5,100,15
chrono::system_clock,#42a5f5,100,16
chrono::system_clock,#42a5f5,100,17
chrono::system_clock,#42a5f5,100,18
chrono::system_clock,#42a5f5,100,19
chrono::system_clock,#42a5f5,100,20
chrono::system_clock,#42a5f5,100,21
chrono::system_clock,#42a5f5,100,22
chrono::system_clock,#42a5f5,100,23
chrono::system_clock,#42a5f5,100,24
chrono::system_clock,#42a5f5,100,25
chrono::system_clock,#42a5f5,100,26
chrono::system_clock,#42a5f5,100,27
chrono::system_clock,#42a5f5,100,28
chrono::system_clock,#42a5f5,100,29
chrono::system_clock,#42a5f5,100,30
chrono::system_clock,#42a5f5,100,31
chrono::system_clock,#42a5f5,100,32
chrono::system_clock,#42a5f5,100,33
chrono::system_clock,#42a5f5,100,34
chrono::system_clock,#42a5f5,100,35
chrono::system_clock,#42a5f5,100,36
chrono::system_clock,#42a5f5,100,37
chrono::system_clock,#42a5f5,100,38
chrono::system_clock,#42a5f5,100,39
chrono::system_clock,#42a5f5,100,40
chrono::system_clock,#42a5f5,100,41
chrono::system_clock,#42a5f5,100,42
chrono::system_clock,#42a5f5,100,43
chrono::system_clock,#42a5f5,100,44
chrono::system_clock,#42a5f5,100,45
chrono::system_clock,#42a5f5,100,46
chrono::system_clock,#42a5f5,100,47
chrono::system_clock,#42a5f5,100,48
chrono::system_clock,#42a5f5,100,49
chrono::system_clock,#42a5f5,100,50
chrono::system_clock,#42a5f5,100,51
chrono::system_clock,#42a5f5,100,52
chrono::system_clock,#42a5f5,100,53
chrono::system_clock,#42a5f5,100,54
chrono::system_clock,#42a5f5,100,55
chrono::system_clock,#42a5f5,100,56
chrono::system_clock,#42a5f5,100,57
chrono::system_clock,#42a5f5,100,58
chrono::system_clock,#42a5f5,100,59
chrono::system_clock,#42a5f5,100,60
chrono::system_clock,#42a5f5,100,61
chrono::system_clock,#42a5f5,100,62
chrono::system_clock,#42a5f5,100,63
chrono::system_clock,#42a5f5,100,64
chrono::system_clock,#42a5f5,100,65
chrono::system_clock,#42a5f5,100,66
chrono::system_clock,#42a5f5,100,67
chrono::system_clock,#42a5f5,100,68
chrono::system_clock,#42a5f5,100,69
chrono::system_clock,#42a5f5,100,70
chrono::system_clock,#42a5f5,100,71
chrono::system_clock,#42a5f5,100,72
chrono::system_clock,#42a5f5,100,73
chrono::system_clock,#42a5f5,100,74
chrono::system_clock,#42a5f5,100,75
chrono::system_clock,#42a5f5,100,76
chrono::system_clock,#42a5f5,100,77
chrono::system_clock,#42a5f5,100,78
chrono::system_clock,#42a5f5,100,79
chrono::system_clock,#42a5f5,100,80
chrono::system_clock,#42a5f5,100,81
chrono::system_clock,#42a5f5,100,82
chrono::system_clock,#42a5f5,100,83
chrono::system_clock,#42a5f5,100,84
chrono::system_clock,#42a5f5,100,85
chrono::system_clock,#42a5f5,100,86
chrono::system_clock,#42a5f5,100,87
chrono::system_clock,#42a5f5,100,88
chrono::system_clock,#42a5f5,100,89
chrono::system_clock,#42a5f5,100,90
