method,color,latency_ns,sample_idx
chrono::system_clock,#42a5f5,1372.57,0
chrono::system_clock,#42a5f5,100.188,1
chrono::system_clock,#42a5f5,120.225,2
chrono::system_clock,#42a5f5,70.1315,3
chrono::system_clock,#42a5f5,130.244,4
chrono::system_clock,#42a5f5,90.1691,5
chrono::system_clock,#42a5f5,90.1691,6
chrono::system_clock,#42a5f5,120.225,7
chrono::system_clock,#42a5f5,90.1691,8
chrono::system_clock,#42a5f5,110.207,9
chrono::system_clock,#42a5f5,80.1503,10
chrono::system_clock,#42a5f5,110.207,11
chrono::system_clock,#42a5f5,110.207,12
chrono::system_clock,#42a5f5,80.1503,13
chrono::system_clock,#42a5f5,110.207,14
chrono::system_clock,#42a5f5,110.207,15
chrono::system_clock,#42a5f5,80.1503,16
chrono::system_clock,#42a5f5,110.207,17
chrono::system_clock,#42a5f5,100.188,18
chrono::system_clock,#42a5f5,80.1503,19
chrono::system_clock,#42a5f5,100.459,20
chrono::system_clock,#42a5f5,79.8795,21
chrono::system_clock,#42a5f5,140.263,22
chrono::system_clock,#42a5f5,90.1691,23
chrono::system_clock,#42a5f5,90.1691,24
chrono::system_clock,#42a5f5,120.225,25
chrono::system_clock,#42a5f5,80.1503,26
chrono::system_clock,#42a5f5,90.1691,27
chrono::system_clock,#42a5f5,130.244,28
chrono::system_clock,#42a5f5,80.1503,29
chrono::system_clock,#42a5f5,90.1691,30
chrono::system_clock,#42a5f5,130.244,31
chrono::system_clock,#42a5f5,80.1503,32
chrono::system_clock,#42a5f5,110.207,33
chrono::system_clock,#42a5f5,80.1503,34
chrono::system_clock,#42a5f5,100.459,35
chrono::system_clock,#42a5f5,119.955,36
chrono::system_clock,#42a5f5,80.1503,37
chrono::system_clock,#42a5f5,110.207,38
chrono::system_clock,#42a5f5,120.225,39
chrono::system_clock,#42a5f5,80.1503,40
chrono::system_clock,#42a5f5,100.188,41
chrono::system_clock,#42a5f5,110.207,42
chrono::system_clock,#42a5f5,110.207,43
