cycles_diff,sample_idx
3692933,0
3692766,1
3693007,2
3693043,3
3693007,4
3692933,5
3693007,6
3692970,7
3692970,8
3692970,9
3693007,10
3693007,11
3692969,12
3693007,13
3692896,14
3692933,15
3692933,16
3693043,17
3692970,18
3692933,19
3692970,20
3692970,21
3692970,22
3693006,23
3692933,24
3693043,25
3692933,26
3693007,27
3692933,28
3693007,29
3692933,30
3693043,31
3692933,32
3692933,33
3692970,34
3693007,35
3693007,36
3692933,37
3693006,38
3693007,39
3692932,40
3692970,41
3692933,42
3693007,43
3693007,44
3692933,45
3693007,46
3692896,47
3692970,48
3693007,49
3692970,50
3692970,51
3693007,52
3693007,53
3692933,54
3693007,55
3692933,56
3693007,57
3692933,58
3693007,59
3692933,60
3692933,61
3693044,62
3692932,63
3692970,64
3692896,65
3693044,66
3693007,67
3692896,68
3693043,69
3692896,70
3693007,71
3692933,72
3693007,73
3693006,74
3692969,75
3693044,76
3692859,77
3692969,78
3692933,79
3693043,80
3693006,81
3692896,82
3693007,83
3692895,84
3693044,85
3692969,86
3693006,87
3692970,88
3692970,89
3692970,90
3692970,91
3693007,92
3692933,93
3693006,94
3692970,95
3692969,96
3692970,97
3692970,98
3692970,99
3692969,100
3693044,101
3692933,102
3692970,103
3693007,104
3692896,105
3693007,106
3692970,107
3693044,108
3692970,109
3692933,110
3692970,111
3693007,112
3692970,113
3692933,114
3693007,115
3692970,116
3693007,117
3693006,118
3692896,119
3692970,120
3692970,121
3692933,122
3692933,123
3692970,124
3692970,125
3692970,126
3692970,127
3692933,128
3692970,129
3692970,130
3692933,131
3693007,132
3692970,133
3692969,134
3692933,135
3693007,136
3693007,137
3692896,138
3692933,139
3692970,140
3692933,141
3693007,142
3692933,143
3693007,144
3692933,145
3692970,146
3692970,147
3692933,148
3692970,149
3693044,150
3693006,151
3692933,152
3693007,153
3692896,154
3692933,155
3692970,156
3693007,157
3693044,158
3692896,159
3693006,160
3692933,161
3693007,162
3692933,163
3692933,164
3693007,165
3692970,166
3692970,167
3692932,168
3693007,169
3692969,170
3692970,171
3692970,172
3692969,173
3693007,174
3692969,175
3693007,176
3692970,177
3693007,178
3692969,179
3693007,180
3692859,181
3693007,182
3692895,183
3693044,184
3692896,185
3693007,186
3692970,187
3692896,188
3693007,189
3692895,190
3693007,191
3692933,192
3692933,193
3693044,194
3692933,195
3692969,196
3692969,197
3693007,198
3692970,199
3692970,200
3693043,201
3692932,202
3693043,203
3692933,204
3692970,205
3692932,206
3693044,207
3693006,208
3692933,209
3692970,210
3692970,211
3693007,212
3692933,213
3693043,214
3692969,215
3692970,216
3693006,217
3692969,218
3693007,219
3692932,220
3693007,221
3693007,222
3692970,223
3693007,224
3692933,225
3693044,226
3692933,227
3692970,228
3693043,229
3692970,230
3693007,231
3692970,232
3693007,233
3692896,234
3693044,235
3693006,236
3692969,237
3693006,238
3692969,239
3692933,240
3692970,241
3693006,242
3693007,243
3692896,244
3693006,245
3692933,246
3693007,247
3692933,248
3693043,249
3693006,250
3692896,251
3693007,252
3692970,253
3693007,254
3692895,255
3693007,256
3693044,257
3692970,258
3692970,259
3692970,260
3693006,261
3692970,262
3693007,263
3692969,264
3692970,265
3692970,266
3692896,267
3693007,268
3693006,269
3693007,270
3692970,271
3692896,272
3693007,273
3692970,274
3693007,275
3692970,276
3692933,277
3693007,278
3692896,279
3693044,280
3692970,281
3692970,282
3692969,283
3692970,284
3693007,285
3692933,286
3692970,287
3692969,288
3693044,289
3692969,290
3692970,291
3692970,292
3693007,293
3693006,294
3692969,295
3692970,296
3692933,297
3692970,298
3693006,299
3692933,300
3693007,301
3692969,302
3692970,303
3692933,304
3693044,305
3692970,306
3692970,307
3692969,308
3692970,309
3692970,310
3693006,311
3692970,312
3693007,313
3692933,314
3693006,315
3692933,316
3692970,317
3692970,318
3693006,319
3693007,320
3692932,321
3693006,322
3692969,323
3692970,324
3693007,325
3693006,326
3692896,327
3693007,328
3692970,329
3692970,330
3693044,331
3692896,332
3693007,333
3692970,334
3692970,335
3693007,336
3692896,337
3693006,338
3692933,339
3692970,340
3693007,341
3692969,342
3692970,343
3692859,344
3693007,345
3692933,346
3692970,347
3693007,348
3692933,349
3693006,350
3692933,351
3693007,352
3693007,353
3692970,354
3692970,355
3692970,356
3693007,357
3692933,358
3692970,359
3692896,360
3693043,361
3693006,362
3692969,363
3692969,364
3692896,365
3693007,366
3692970,367
3692969,368
3692969,369
3693007,370
3693006,371
3692933,372
3693007,373
3692933,374
3692970,375
3692933,376
3692969,377
3693007,378
3692933,379
3692970,380
3692970,381
3692970,382
3692970,383
3693007,384
3692933,385
3693007,386
3692933,387
3692970,388
3693007,389
3693007,390
3692895,391
3693007,392
3693007,393
3693007,394
3692933,395
3692970,396
3693043,397
3692932,398
3693044,399
3692932,400
3693007,401
3692933,402
3693044,403
3693006,404
3692896,405
3693043,406
3692896,407
3692970,408
3692970,409
3693007,410
3693006,411
3692969,412
3693007,413
3692896,414
3692970,415
3692969,416
3692970,417
3692970,418
3693007,419
3692932,420
3693007,421
3692969,422
3692933,423
3693043,424
3692970,425
3692970,426
3693006,427
3692970,428
3693007,429
3692896,430
3692970,431
3693007,432
3692970,433
3693007,434
3693007,435
3693006,436
3692970,437
3692969,438
3693006,439
3692933,440
3692933,441
3692970,442
3693007,443
3692933,444
3693006,445
3693006,446
3693018,447
3692970,448
3692933,449
3692970,450
3692969,451
3692970,452
3693006,453
3692969,454
3693006,455
3692969,456
3692933,457
3693044,458
3692933,459
3693007,460
3692970,461
3692933,462
3692970,463
3692970,464
3692970,465
3692970,466
3692969,467
3693007,468
3692933,469
3693007,470
3692933,471
3692970,472
3693044,473
3692932,474
3693043,475
3692932,476
3693007,477
3692859,478
3692970,479
3693006,480
3693007,481
3692933,482
3692970,483
3692933,484
3692970,485
3693044,486
3692896,487
3692970,488
3693007,489
3692933,490
3693044,491
3692970,492
3692933,493
3692970,494
3692970,495
3693044,496
3692933,497
3692970,498
3693007,499
3692933,500
3692970,501
3692970,502
3692970,503
3692970,504
3692896,505
3693007,506
3693006,507
3692970,508
3693006,509
3693007,510
3692932,511
3692970,512
3692896,513
3693044,514
3692932,515
3693007,516
3692933,517
3692970,518
3693007,519
3692933,520
3693007,521
3693007,522
3692969,523
3693006,524
3693006,525
3692969,526
3692933,527
3692970,528
3693007,529
3692970,530
3693007,531
3692970,532
3693043,533
3692896,534
3693006,535
3692970,536
3692970,537
3692970,538
3692970,539
3692970,540
3692933,541
3693044,542
3693007,543
3692970,544
3692933,545
3692896,546
3693007,547
3692933,548
3692896,549
3692970,550
3693006,551
3692970,552
3692933,553
3693007,554
3692970,555
3692969,556
3693043,557
3692970,558
3692932,559
3692933,560
3692970,561
3692933,562
3692933,563
3693006,564
3692896,565
3692970,566
3692933,567
3693007,568
3692896,569
3693044,570
3692932,571
3693007,572
3692933,573
3692970,574
3692970,575
3692970,576
3693006,577
3693044,578
3692895,579
3693043,580
3692970,581
3692933,582
3692970,583
3692970,584
3693007,585
3692970,586
3693007,587
3692932,588
3693007,589
3693006,590
3693007,591
3692970,592
3692970,593
3692970,594
3693006,595
3692933,596
3692933,597
3693007,598
3692933,599
3693006,600
3692970,601
3692970,602
3692969,603
3692970,604
3693006,605
3693006,606
3692895,607
3693007,608
3692933,609
3693007,610
3692932,611
3693006,612
3693043,613
3692933,614
3693007,615
3692933,616
3693044,617
3692896,618
3693006,619
3693043,620
3692933,621
3693044,622
3692970,623
3692932,624
3692933,625
3693006,626
3693007,627
3692896,628
3693007,629
3692933,630
3692969,631
3692969,632
3692970,633
3693006,634
3692969,635
3693006,636
3692933,637
3693007,638
3693007,639
3692859,640
3693044,641
3692970,642
3692969,643
3692896,644
3692970,645
3692933,646
3692970,647
3692933,648
3692970,649
3692970,650
3693007,651
3692969,652
3692933,653
3693006,654
3693044,655
3692969,656
3692933,657
3693006,658
3692933,659
3692969,660
3693007,661
3692970,662
3692969,663
3693006,664
3692969,665
3692970,666
3692933,667
3693044,668
3692970,669
3692933,670
3693006,671
3692932,672
3693044,673
3692896,674
3693043,675
3692896,676
3692970,677
3693006,678
3692970,679
3692970,680
3692970,681
3693007,682
3692969,683
3693006,684
3692933,685
3693007,686
3692932,687
3693007,688
3692969,689
3693007,690
3692969,691
3692970,692
3692933,693
3693006,694
3692970,695
3693044,696
3692970,697
3692970,698
3692970,699
3692969,700
3692933,701
3692970,702
3693006,703
3692896,704
3692970,705
3693007,706
3692933,707
3692969,708
3692895,709
3693044,710
3692896,711
3692933,712
3693006,713
3692970,714
3692933,715
3692932,716
3692969,717
3693007,718
3692970,719
3693006,720
3692896,721
3693007,722
3692859,723
3692970,724
3692933,725
3692969,726
3692933,727
3693007,728
3692969,729
3692896,730
3692970,731
3692970,732
3693006,733
3693006,734
3692970,735
3692969,736
3692970,737
3692933,738
3692933,739
3692970,740
3693007,741
3692896,742
3693006,743
3692970,744
3693007,745
3692970,746
3692932,747
3692933,748
3692970,749
3693007,750
3692970,751
3693007,752
3692896,753
3692970,754
3693007,755
3692970,756
3692970,757
3692970,758
3693007,759
3692859,760
3693043,761
3692933,762
3692969,763
3692970,764
3692932,765
3693007,766
3692970,767
3692970,768
3692970,769
3693006,770
3693007,771
3692933,772
3692970,773
3692933,774
3692970,775
3693007,776
3692970,777
3692970,778
3692933,779
3693006,780
3692969,781
3693007,782
3692970,783
3692932,784
3693006,785
3692970,786
3693007,787
3692896,788
3693006,789
3692933,790
3693007,791
3693007,792
3692896,793
3692970,794
3692969,795
3692969,796
3693044,797
3692896,798
3693007,799
3692933,800
3692970,801
3693007,802
3692970,803
3692970,804
3692933,805
3693007,806
3692969,807
3692970,808
3692932,809
3693007,810
3693007,811
3692970,812
3692896,813
3693006,814
3692933,815
3692896,816
3693044,817
3693007,818
3692932,819
3693007,820
3692933,821
3693006,822
3692933,823
3692970,824
3692970,825
3693007,826
3692933,827
3692896,828
3692933,829
3692969,830
3693006,831
3692970,832
3693006,833
3692969,834
3692933,835
3693044,836
3692970,837
3692970,838
3692932,839
3693006,840
3692970,841
3692932,842
3693006,843
3692969,844
3692933,845
3692970,846
3693007,847
3692969,848
3692933,849
3692970,850
3692896,851
3693007,852
3693007,853
3692969,854
3693007,855
3692969,856
3693007,857
3692933,858
3692896,859
3693007,860
3692933,861
3693007,862
3692970,863
3693007,864
3692933,865
3693044,866
3692970,867
3692969,868
3692970,869
3692970,870
3693007,871
3692933,872
3692970,873
3693044,874
3692970,875
3692969,876
3693007,877
3692933,878
3692859,879
3693044,880
3693006,881
3692933,882
3693006,883
3693006,884
3693006,885
3692896,886
3692933,887
3693044,888
3692933,889
3692969,890
3693006,891
3692933,892
3693006,893
3692969,894
3693007,895
3692933,896
3693007,897
3692933,898
3692933,899
3692932,900
3693007,901
3693044,902
3692895,903
3693044,904
3692970,905
3692970,906
3692896,907
3693007,908
3692896,909
3692933,910
3692969,911
3692970,912
3693007,913
3692969,914
