time_s,cps
0.0012,3.6931e+09
0.0024,3.69303e+09
0.0036,3.69306e+09
0.0048,3.69312e+09
0.006,3.69303e+09
0.0072,3.69306e+09
0.0084,3.69303e+09
0.0096,3.69309e+09
0.0108,3.69303e+09
0.012,3.693e+09
0.0132,3.69309e+09
0.0144,3.69306e+09
0.0156,3.69316e+09
0.0168,3.69306e+09
0.018,3.69306e+09
0.0192,3.69303e+09
0.0204,3.69309e+09
0.0216,3.69309e+09
0.0228,3.693e+09
0.024,3.69303e+09
0.0252,3.69309e+09
0.0264,3.69306e+09
0.0276,3.69303e+09
0.0288,3.69306e+09
0.03,3.69309e+09
0.0312,3.69303e+09
0.0324,3.69309e+09
0.0336,3.69306e+09
0.0348,3.69303e+09
0.036,3.69306e+09
0.0372,3.69303e+09
0.0384,3.69315e+09
0.0396,3.69303e+09
0.0408,3.69309e+09
0.042,3.693e+09
0.0432,3.69306e+09
0.0444,3.69309e+09
0.0456,3.69303e+09
0.0468,3.69309e+09
0.048,3.69306e+09
0.0492,3.69303e+09
0.0504,3.69306e+09
0.0516,3.69306e+09
0.0528,3.69309e+09
0.054,3.69303e+09
0.0552,3.69309e+09
0.0564,3.69309e+09
0.0576,3.69306e+09
0.0588,3.69306e+09
0.06,3.69306e+09
0.0612,3.69303e+09
0.0624,3.69306e+09
0.0636,3.69312e+09
0.0648,3.69303e+09
0.066,3.69303e+09
0.0672,3.69312e+09
0.0684,3.693e+09
0.0696,3.69306e+09
0.0708,3.69309e+09
0.072,3.69306e+09
0.0732,3.69306e+09
0.0744,3.69306e+09
0.0756,3.69303e+09
0.0768,3.69303e+09
0.078,3.69309e+09
0.0792,3.69306e+09
0.0804,3.69309e+09
0.0816,3.69303e+09
0.0828,3.69312e+09
0.084,3.693e+09
0.0852,3.69312e+09
0.0864,3.693e+09
0.0876,3.69306e+09
0.0888,3.69306e+09
0.09,3.69309e+09
0.0912,3.69306e+09
0.0924,3.69309e+09
0.0936,3.693e+09
0.0948,3.69312e+09
0.096,3.69303e+09
0.0972,3.69309e+09
0.0984,3.69309e+09
0.0996,3.69303e+09
0.1008,3.69303e+09
0.102,3.69312e+09
0.1032,3.693e+09
0.1044,3.69306e+09
0.1056,3.69306e+09
0.1068,3.69309e+09
0.108,3.69303e+09
0.1092,3.69306e+09
0.1104,3.69309e+09
0.1116,3.69306e+09
0.1128,3.69303e+09
0.114,3.69306e+09
0.1152,3.69309e+09
0.1164,3.69303e+09
0.1176,3.69306e+09
0.1188,3.69306e+09
0.12,3.69306e+09
0.1212,3.69312e+09
0.1224,3.69306e+09
0.1236,3.693e+09
0.1248,3.69309e+09
0.126,3.69306e+09
0.1272,3.69306e+09
0.1284,3.69303e+09
0.1296,3.69309e+09
0.1308,3.69306e+09
0.132,3.693e+09
0.1332,3.69312e+09
0.1344,3.69303e+09
0.1356,3.69306e+09
0.1368,3.69309e+09
0.138,3.69306e+09
0.1392,3.69306e+09
0.1404,3.69306e+09
0.1416,3.69306e+09
0.1428,3.69309e+09
0.144,3.69306e+09
0.1452,3.69303e+09
0.1464,3.69306e+09
0.1476,3.69312e+09
0.1488,3.693e+09
0.15,3.69309e+09
0.1512,3.69303e+09
0.1524,3.69309e+09
0.1536,3.69306e+09
0.1548,3.69309e+09
0.156,3.693e+09
0.1572,3.69306e+09
0.1584,3.69306e+09
0.1596,3.69309e+09
0.1608,3.69309e+09
0.162,3.69303e+09
0.1632,3.69306e+09
0.1644,3.693e+09
0.1656,3.69306e+09
0.1668,3.69312e+09
0.168,3.693e+09
0.1692,3.69309e+09
0.1704,3.69306e+09
0.1716,3.69312e+09
0.1728,3.69303e+09
0.174,3.69306e+09
0.1752,3.69306e+09
0.1764,3.69306e+09
0.1776,3.69306e+09
0.1788,3.69309e+09
0.18,3.69306e+09
0.1812,3.69309e+09
0.1824,3.69297e+09
0.1836,3.69312e+09
0.1848,3.69306e+09
0.186,3.69306e+09
0.1872,3.69306e+09
0.1884,3.69309e+09
0.1896,3.693e+09
0.1908,3.69309e+09
0.192,3.69303e+09
0.1932,3.69309e+09
0.1944,3.69306e+09
0.1956,3.69309e+09
0.1968,3.69303e+09
0.198,3.69303e+09
0.1992,3.69306e+09
0.2004,3.69306e+09
0.2016,3.69309e+09
0.2028,3.69309e+09
0.204,3.693e+09
0.2052,3.69309e+09
0.2064,3.69303e+09
0.2076,3.69309e+09
0.2088,3.69306e+09
0.21,3.69306e+09
0.2112,3.69306e+09
0.2124,3.69303e+09
0.2136,3.69309e+09
0.2148,3.69303e+09
0.216,3.69312e+09
0.2172,3.693e+09
0.2184,3.69309e+09
0.2196,3.69309e+09
0.2208,3.69306e+09
0.222,3.69306e+09
0.2232,3.693e+09
0.2244,3.69312e+09
0.2256,3.69303e+09
0.2268,3.69306e+09
0.228,3.69306e+09
0.2292,3.69309e+09
0.2304,3.69303e+09
0.2316,3.69309e+09
0.2328,3.69309e+09
0.234,3.69297e+09
0.2352,3.69309e+09
0.2364,3.69306e+09
0.2376,3.69309e+09
0.2388,3.69303e+09
0.24,3.69303e+09
0.2412,3.69309e+09
0.2424,3.69309e+09
0.2436,3.69303e+09
0.2448,3.69306e+09
0.246,3.69306e+09
0.2472,3.69306e+09
0.2484,3.69306e+09
0.2496,3.69309e+09
0.2508,3.69309e+09
0.252,3.693e+09
0.2532,3.69312e+09
0.2544,3.693e+09
0.2556,3.69309e+09
0.2568,3.69306e+09
0.258,3.69303e+09
0.2592,3.69306e+09
0.2604,3.69312e+09
0.2616,3.69306e+09
0.2628,3.693e+09
0.264,3.69306e+09
0.2652,3.69309e+09
0.2664,3.69306e+09
0.2676,3.69309e+09
0.2688,3.69306e+09
0.27,3.693e+09
0.2712,3.69312e+09
0.2724,3.69303e+09
0.2736,3.69306e+09
0.2748,3.69306e+09
0.276,3.69309e+09
0.2772,3.69303e+09
0.2784,3.69306e+09
0.2796,3.69309e+09
0.2808,3.69309e+09
0.282,3.69306e+09
0.2832,3.69303e+09
0.2844,3.69306e+09
0.2856,3.69303e+09
0.2868,3.69309e+09
0.288,3.69306e+09
0.2892,3.69306e+09
0.2904,3.69306e+09
0.2916,3.69303e+09
0.2928,3.69306e+09
0.294,3.69312e+09
0.2952,3.69306e+09
0.2964,3.69303e+09
0.2976,3.693e+09
0.2988,3.69312e+09
0.3,3.69306e+09
0.3012,3.69306e+09
0.3024,3.69306e+09
0.3036,3.69309e+09
0.3048,3.69306e+09
0.306,3.69306e+09
0.3072,3.69306e+09
0.3084,3.69303e+09
0.3096,3.69306e+09
0.3108,3.69312e+09
0.312,3.69303e+09
0.3132,3.69306e+09
0.3144,3.693e+09
0.3156,3.69312e+09
0.3168,3.69309e+09
0.318,3.693e+09
0.3192,3.69309e+09
0.3204,3.69303e+09
0.3216,3.69306e+09
0.3228,3.69312e+09
0.324,3.693e+09
0.3252,3.69306e+09
0.3264,3.69306e+09
0.3276,3.69309e+09
0.3288,3.69309e+09
0.33,3.693e+09
0.3312,3.69306e+09
0.3324,3.69306e+09
0.3336,3.69312e+09
0.3348,3.69306e+09
0.336,3.69306e+09
0.3372,3.693e+09
0.3384,3.69309e+09
0.3396,3.69306e+09
0.3408,3.69303e+09
0.342,3.69309e+09
0.3432,3.69306e+09
0.3444,3.69306e+09
0.3456,3.69306e+09
0.3468,3.69309e+09
0.348,3.69303e+09
0.3492,3.69306e+09
0.3504,3.69306e+09
0.3516,3.69309e+09
0.3528,3.69303e+09
0.354,3.69312e+09
0.3552,3.693e+09
0.3564,3.69306e+09
0.3576,3.69306e+09
0.3588,3.69309e+09
0.36,3.69309e+09
0.3612,3.69303e+09
0.3624,3.69303e+09
0.3636,3.69309e+09
0.3648,3.693e+09
0.366,3.69309e+09
0.3672,3.69309e+09
0.3684,3.69303e+09
0.3696,3.69312e+09
0.3708,3.69297e+09
0.372,3.69315e+09
0.3732,3.69303e+09
0.3744,3.69303e+09
0.3756,3.69309e+09
0.3768,3.69303e+09
0.378,3.69309e+09
0.3792,3.69303e+09
0.3804,3.69306e+09
0.3816,3.69309e+09
0.3828,3.69306e+09
0.384,3.69309e+09
0.3852,3.69306e+09
0.3864,3.69303e+09
0.3876,3.69312e+09
0.3888,3.69303e+09
0.39,3.69306e+09
0.3912,3.69306e+09
0.3924,3.69306e+09
0.3936,3.69306e+09
0.3948,3.69306e+09
0.396,3.69309e+09
0.3972,3.69303e+09
0.3984,3.69303e+09
0.3996,3.69309e+09
0.4008,3.69309e+09
0.402,3.69303e+09
0.4032,3.69303e+09
0.4044,3.69309e+09
0.4056,3.69306e+09
0.4068,3.69306e+09
0.408,3.69303e+09
0.4092,3.69309e+09
0.4104,3.69306e+09
0.4116,3.69306e+09
0.4128,3.69306e+09
0.414,3.69309e+09
0.4152,3.693e+09
0.4164,3.69309e+09
0.4176,3.69306e+09
0.4188,3.69309e+09
0.42,3.69303e+09
0.4212,3.69303e+09
0.4224,3.69309e+09
0.4236,3.69303e+09
0.4248,3.69309e+09
0.426,3.69309e+09
0.4272,3.69309e+09
0.4284,3.693e+09
0.4296,3.69306e+09
0.4308,3.69312e+09
0.432,3.69303e+09
0.4332,3.69303e+09
0.4344,3.69303e+09
0.4356,3.69309e+09
0.4368,3.69309e+09
0.438,3.69309e+09
0.4392,3.69303e+09
0.4404,3.69303e+09
0.4416,3.69312e+09
0.4428,3.693e+09
0.444,3.69309e+09
0.4452,3.69303e+09
0.4464,3.69312e+09
0.4476,3.693e+09
0.4488,3.69309e+09
0.45,3.693e+09
0.4512,3.69312e+09
0.4524,3.69306e+09
0.4536,3.69306e+09
0.4548,3.69303e+09
0.456,3.69303e+09
0.4572,3.69309e+09
0.4584,3.69306e+09
0.4596,3.69303e+09
0.4608,3.69315e+09
0.462,3.693e+09
0.4632,3.69309e+09
0.4644,3.69306e+09
0.4656,3.69306e+09
0.4668,3.69312e+09
0.468,3.69306e+09
0.4692,3.693e+09
0.4704,3.69312e+09
0.4716,3.693e+09
0.4728,3.69312e+09
0.474,3.69306e+09
0.4752,3.693e+09
0.4764,3.69312e+09
0.4776,3.69303e+09
0.4788,3.69303e+09
0.48,3.69312e+09
0.4812,3.693e+09
0.4824,3.69306e+09
0.4836,3.69306e+09
0.4848,3.69309e+09
0.486,3.69306e+09
0.4872,3.69303e+09
0.4884,3.69312e+09
0.4896,3.69303e+09
0.4908,3.69303e+09
0.492,3.69306e+09
0.4932,3.69306e+09
0.4944,3.69303e+09
0.4956,3.69309e+09
0.4968,3.69309e+09
0.498,3.69303e+09
0.4992,3.69309e+09
0.5004,3.693e+09
0.5016,3.69315e+09
0.5028,3.693e+09
0.504,3.69309e+09
0.5052,3.69306e+09
0.5064,3.69309e+09
0.5076,3.69303e+09
0.5088,3.69309e+09
0.51,3.69306e+09
0.5112,3.69306e+09
0.5124,3.69303e+09
0.5136,3.69306e+09
0.5148,3.69312e+09
0.516,3.69303e+09
0.5172,3.69306e+09
0.5184,3.69306e+09
0.5196,3.69309e+09
0.5208,3.69303e+09
0.522,3.69306e+09
0.5232,3.69303e+09
0.5244,3.69309e+09
0.5256,3.69306e+09
0.5268,3.69306e+09
0.528,3.69303e+09
0.5292,3.69309e+09
0.5304,3.69303e+09
0.5316,3.69309e+09
0.5328,3.693e+09
0.534,3.69312e+09
0.5352,3.69306e+09
0.5364,3.69303e+09
0.5376,3.69303e+09
0.5388,3.69315e+09
0.54,3.69303e+09
0.5412,3.69309e+09
0.5424,3.69306e+09
0.5436,3.69306e+09
0.5448,3.69303e+09
0.546,3.69309e+09
0.5472,3.69303e+09
0.5484,3.69309e+09
0.5496,3.69303e+09
0.5508,3.69309e+09
0.552,3.69303e+09
0.5532,3.69309e+09
0.5544,3.69306e+09
0.5556,3.69303e+09
0.5568,3.69306e+09
0.558,3.69309e+09
0.5592,3.69303e+09
0.5604,3.69309e+09
0.5616,3.69303e+09
0.5628,3.69303e+09
0.564,3.69309e+09
0.5652,3.69306e+09
0.5664,3.69309e+09
0.5676,3.69309e+09
0.5688,3.693e+09
0.57,3.69309e+09
