cycles,sample_idx
37,0
37,1
37,2
1,3
36,4
37,5
37,6
37,7
1,8
36,9
37,10
37,11
1,12
36,13
37,14
37,15
1,16
36,17
37,18
37,19
1,20
37,21
37,22
37,23
1,24
36,25
37,26
37,27
1,28
36,29
37,30
37,31
1,32
36,33
37,34
37,35
1,36
36,37
37,38
37,39
1,40
36,41
37,42
37,43
1,44
36,45
37,46
37,47
1,48
37,49
37,50
37,51
1,52
36,53
37,54
37,55
36,56
37,57
37,58
37,59
1,60
36,61
37,62
37,63
1,64
36,65
37,66
37,67
1,68
36,69
37,70
37,71
1,72
36,73
37,74
37,75
1,76
37,77
37,78
37,79
1,80
36,81
37,82
37,83
36,84
37,85
37,86
37,87
1,88
36,89
37,90
1,91
36,92
37,93
37,94
37,95
1,96
36,97
37,98
1,99
36,100
37,101
37,102
37,103
1,104
37,105
37,106
1,107
36,108
37,109
37,110
37,111
36,112
37,113
37,114
1,115
36,116
37,117
37,118
1,119
36,120
37,121
37,122
1,123
36,124
37,125
37,126
1,127
36,128
37,129
37,130
1,131
36,132
37,133
37,134
1,135
36,136
37,137
37,138
37,139
36,140
37,141
37,142
1,143
36,144
37,145
37,146
1,147
36,148
37,149
37,150
1,151
36,152
37,153
37,154
1,155
36,156
37,157
37,158
37,159
1,160
37,161
37,162
1,163
36,164
37,165
37,166
37,167
36,168
37,169
37,170
1,171
36,172
37,173
37,174
1,175
36,176
37,177
37,178
37,179
1,180
36,181
37,182
1,183
36,184
37,185
37,186
37,187
1,188
37,189
37,190
1,191
36,192
37,193
37,194
37,195
36,196
37,197
37,198
1,199
36,200
37,201
37,202
1,203
36,204
37,205
37,206
1,207
36,208
37,209
37,210
1,211
36,212
37,213
37,214
1,215
36,216
37,217
37,218
1,219
36,220
37,221
37,222
37,223
36,224
37,225
37,226
1,227
36,228
37,229
37,230
1,231
36,232
37,233
37,234
1,235
36,236
37,237
37,238
1,239
36,240
37,241
37,242
1,243
36,244
37,245
37,246
1,247
36,248
37,249
37,250
1,251
37,252
37,253
37,254
1,255
36,256
37,257
37,258
36,259
37,260
37,261
