thread,time_us,cycles
0,0.026,15570916423528
0,0.026,15570916423639
0,0.026,15570916423714
0,0.126,15570916423824
0,0.126,15570916423935
0,0.126,15570916424009
0,0.126,15570916424120
0,0.226,15570916424231
0,0.226,15570916424305
0,0.226,15570916424416
0,0.226,15570916424527
0,0.326,15570916424602
0,0.326,15570916424712
0,0.326,15570916424823
0,0.326,15570916424898
0,0.426,15570916425008
0,0.426,15570916425119
0,0.426,15570916425194
0,0.526,15570916425304
0,0.526,15570916425379
0,0.526,15570916425489
0,0.526,15570916425600
0,0.626,15570916425675
0,0.626,15570916425785
0,0.626,15570916425896
0,0.626,15570916425971
0,0.726,15570916426081
0,0.726,15570916426192
0,0.726,15570916426266
0,0.726,15570916426377
0,0.826,15570916426452
0,0.826,15570916426562
0,0.826,15570916426673
0,0.826,15570916426747
0,0.926,15570916426858
0,0.926,15570916426969
0,0.926,15570916427080
0,1.026,15570916427154
0,1.026,15570916427265
0,1.026,15570916427339
0,1.026,15570916427450
0,1.126,15570916427561
0,1.126,15570916427635
0,1.126,15570916427746
0,1.126,15570916427821
0,1.226,15570916427931
0,1.226,15570916428042
0,1.226,15570916428116
0,1.226,15570916428227
0,1.326,15570916428302
0,1.326,15570916428412
0,1.326,15570916428523
0,1.326,15570916428597
0,1.426,15570916428708
0,1.426,15570916428782
0,1.426,15570916428893
0,1.426,15570916428968
0,1.526,15570916429078
0,1.526,15570916429189
0,1.526,15570916429264
0,1.626,15570916429374
0,1.626,15570916429449
0,1.626,15570916429559
0,1.626,15570916429670
0,1.726,15570916429745
0,1.726,15570916429855
0,1.726,15570916429966
0,1.726,15570916430040
0,1.826,15570916430151
0,1.826,15570916430262
0,1.826,15570916430337
0,1.826,15570916430447
0,1.926,15570916430522
0,1.926,15570916430632
0,1.926,15570916430743
0,1.926,15570916430817
0,2.026,15570916430928
0,2.026,15570916431039
0,2.026,15570916431150
0,2.126,15570916431225
0,2.126,15570916431335
0,2.126,15570916431446
0,2.126,15570916431557
0,2.226,15570916431632
0,2.226,15570916431742
0,2.226,15570916431853
0,2.226,15570916431928
0,2.326,15570916432038
0,2.326,15570916432149
0,2.326,15570916432224
0,2.426,15570916432334
0,2.426,15570916432445
0,2.426,15570916432519
0,2.426,15570916432630
0,2.526,15570916432705
0,2.526,15570916432815
0,2.526,15570916432926
0,2.526,15570916433001
0,2.626,15570916433111
0,2.626,15570916433222
0,2.626,15570916433333
0,2.626,15570916433407
